NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04639050,"Brainshuttle AD: A Multiple Ascending Dose Study to Investigate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RO7126209 Following Intravenous Infusion in Participants With Prodromal or Mild to Moderate Alzheimer's Disease",https://clinicaltrials.gov/study/NCT04639050,ACTIVE_NOT_RECRUITING,Alzheimers Disease,DRUG: RO7126209|DRUG: Placebo,Hoffmann-La Roche,,INTERVENTIONAL
NCT07143734,Transcranial Pulse Stimulation for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07143734,RECRUITING,Alzheimer Dementia (AD),DEVICE: transcranial pulse stimulation (TPS)|DEVICE: transcranial pulse stimulation (TPS-Sham),Chinese University of Hong Kong,Asia Pacific Institute of Healthy ageing|Associated medical supplies company limited|Dongguan University of Technology|SuZhou Engin Bio-medical Electronics.Co.Ltd.,INTERVENTIONAL
NCT02565511,A Study of CAD106 and CNP520 Versus Placebo in Participants at Risk for the Onset of Clinical Symptoms of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02565511,TERMINATED,Alzheimers Disease,BIOLOGICAL: CAD106 Immunotherapy|OTHER: Placebo to CAD106|DRUG: CNP520|OTHER: Placebo to CNP520|OTHER: Alum,Novartis Pharmaceuticals,Banner Alzheimer's Institute|National Institute on Aging (NIA)|Amgen,INTERVENTIONAL
NCT03132272,Immunoadsorption for Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03132272,TERMINATED,Alzheimer Dementia,DEVICE: Immunoadsorption with Globaffin,University Medicine Greifswald,,INTERVENTIONAL
NCT05767580,"Comparison of Dual Assignment, Cadence, and Gait Speed in Alzheimer's Dementia and Healthy Geriatric Individuals",https://clinicaltrials.gov/study/NCT05767580,UNKNOWN,Alzheimer Dementia,OTHER: evaluation,Kırıkkale University,,OBSERVATIONAL
NCT01469351,Identifying Potential Effects of Liraglutide on Degenerative Changes,https://clinicaltrials.gov/study/NCT01469351,COMPLETED,Alzheimers Disease,DRUG: Liraglutide|DRUG: non-active study drug,University of Aarhus,,INTERVENTIONAL
NCT02190084,Repetitive Transcranial Magnetic Stimulation for Apathy in Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT02190084,COMPLETED,Apathy|Alzheimer's Dementia,DEVICE: Neurostar repetitive transcranial magnetic stimulator,Central Arkansas Veterans Healthcare System,,INTERVENTIONAL
NCT01760005,Dominantly Inherited Alzheimer Network Trial: An Opportunity to Prevent Dementia. A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset Alzheimer's Disease Caused by a Genetic Mutation. Master Protocol DIAN-TU-001,https://clinicaltrials.gov/study/NCT01760005,ACTIVE_NOT_RECRUITING,"Alzheimers Disease|Dementia|Alzheimers Disease, Familial",DRUG: Gantenerumab|DRUG: Solanezumab|DRUG: Matching Placebo (Gantenerumab)|DRUG: Matching Placebo (Solanezumab)|DRUG: Gantenerumab|DRUG: E2814|DRUG: Lecanemab|DRUG: Matching Placebo (E2814),Washington University School of Medicine,"Eli Lilly and Company|Hoffmann-La Roche|Alzheimer's Association|National Institute on Aging (NIA)|Avid Radiopharmaceuticals|Accelerating Medicines Partnership (AMP)|Eisai Inc.|Janssen, LP",INTERVENTIONAL
NCT07066826,Clinical Study to Evaluate the Efficacy and Safety of Huperzine A Controlled-Release Tablets in Patients With Mild-to-Moderate Dementia of the Alzheimer's Type,https://clinicaltrials.gov/study/NCT07066826,NOT_YET_RECRUITING,Alzheimer Dementia,DRUG: Huperzine A Controlled-Release Tablets|DRUG: Donepezil hydrochloride tablets|DRUG: Huperzine A controlled-release tablets placebo; Donepezil hydrochloride tablets placebo,"Wanbangde Pharmaceutical Group Co., LTD",,INTERVENTIONAL
NCT00456417,Evaluation of [123I] MNI-187 and SPECT in Patients With Alzheimers Disease in Comparison to Healthy Subjects,https://clinicaltrials.gov/study/NCT00456417,COMPLETED,Alzheimers Disease,DRUG: 123-I MNI-187 Injection and Imaging Procedures,Institute for Neurodegenerative Disorders,Molecular NeuroImaging,INTERVENTIONAL
