NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT07509125,"Ultra-High Resolution PET in Aging, Neurodegeneration and Psychotic Disorders",https://clinicaltrials.gov/study/NCT07509125,RECRUITING,Alzheimer Dementia (AD)|ALS - Amyotrophic Lateral Sclerosis|Parkinson s Disease|REM Sleep Behavior Disorder (iRBD)|PSP - Progressive Supranuclear Palsy|MSA - Multiple System Atrophy|Dementia With Lewy Bodies (DLB)|ALS With Frontotemporal Dementia (ALS/FTD)|Adult Onset Psychotic Disorder|Very Late Onset Psychotic Disorder,OTHER: UHR PET/CT scan of the brain with ¹⁸F-FDG|OTHER: UHR PET/CT scan of the brain with ¹⁸F-PE2I|OTHER: UHR PET/CT scan of the brain with ¹⁸F-SynVesT-1|OTHER: UHR PET/CT scan of the brain with ¹⁸F-MK6240|OTHER: 3T MRI imaging of the brain,Universitaire Ziekenhuizen KU Leuven,,INTERVENTIONAL
NCT06911944,Amyloid Lowering for Alzheimer's in Down's With Donanemab Investigation,https://clinicaltrials.gov/study/NCT06911944,NOT_YET_RECRUITING,Down Syndrome (DS)|Down Syndrome (Trisomy 21)|Alzheimer Disease|Amyloid Beta Protein,DRUG: Donanemab|DRUG: Placebo,"Michael Rafii, MD, PhD",National Institute on Aging (NIA)|Eli Lilly and Company|Alzheimer's Clinical Trials Consortium|Alzheimer's Therapeutic Research Institute,INTERVENTIONAL
NCT03284112,Old SCHOOL Hip-Hop: Improve Alzheimer's Disease Knowledge,https://clinicaltrials.gov/study/NCT03284112,COMPLETED,Dementia,BEHAVIORAL: Old SCHOOL Hip-Hop|BEHAVIORAL: My Plate,Columbia University,National Institute on Aging (NIA),INTERVENTIONAL
NCT02503098,Optimizing a Smartphone Application for Individuals With Eating Disorders,https://clinicaltrials.gov/study/NCT02503098,COMPLETED,Eating Disorders|Binge Eating Disorder|Bulimia Nervosa,BEHAVIORAL: Recovery Record adaptive smartphone application|BEHAVIORAL: Recovery Record standard smartphone application,Recovery Record Research,Stanford University,INTERVENTIONAL
NCT03451591,LACunar Intervention (LACI-2) Trial-2,https://clinicaltrials.gov/study/NCT03451591,COMPLETED,"Cerebral Small Vessel Diseases|Stroke, Lacunar",DRUG: Isosorbide Mononitrate XL (ISMN)|DRUG: Cilostazol|DRUG: ISMN XL and Cilostazol|OTHER: Neither ISMN nor cilostazol,University of Edinburgh,British Heart Foundation|University of Nottingham,INTERVENTIONAL
NCT01550172,Improving Dementia Caregiver Sleep & the Effect on Heart Disease Biomarkers,https://clinicaltrials.gov/study/NCT01550172,COMPLETED,Caregivers of Persons With Dementia,BEHAVIORAL: Sleep Behavioral Therapy A and NHMS|BEHAVIORAL: Sleep Behavioral Therapy B and NHMS,University of South Florida,National Institute on Aging (NIA),INTERVENTIONAL
NCT06999434,Exploring the Utility of [18F]3F4AP for Demyelination Imaging,https://clinicaltrials.gov/study/NCT06999434,RECRUITING,Demyelinating Disorders|MCI|Alzheimer's Disease (AD)|MS (Multiple Sclerosis)|SCI - Spinal Cord Injury|Spinal Radiculopathy,DRUG: [ 18F]3F4AP|DRUG: [18F]MK6240|DRUG: [11C]PIB,Yale University,National Institute for Biomedical Imaging and Bioengineering (NIBIB)|National Institute on Aging (NIA),INTERVENTIONAL
NCT06788119,Analyzing the Benefits of Using SYMPTOMS-JIT for in Vivo Exposure in Anxiety Disorders,https://clinicaltrials.gov/study/NCT06788119,RECRUITING,Anxiety Disorders|Specific Phobia|Panic Disorder|Agoraphobia|Social Anxiety Disorder,BEHAVIORAL: Cognitive behavioral therapy with in vivo exposure|BEHAVIORAL: Cognitive behavorial therapy with in vivo exposure plus SYMPTOMS-JIT,Universitat Jaume I,,INTERVENTIONAL
NCT05417555,Low Intensity Focused Ultrasound for Mild Cognitive Impairment and Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05417555,RECRUITING,Mild Cognitive Impairment|Amnestic Mild Cognitive Disorder|Deep Brain Stimulation|Mild Alzheimer's Disease,DEVICE: Low-Intensity Focused Ultrasound Pulsation (LIFUP),"University of California, Los Angeles",National Institute on Aging (NIA),INTERVENTIONAL
NCT02273895,"The Use of EEG in Alzheimer's Disease, With and Without Scopolamine - A Pilot Study",https://clinicaltrials.gov/study/NCT02273895,COMPLETED,AD,DRUG: Scopolamine,Mentis Cura,Landspitali University Hospital,INTERVENTIONAL
NCT04857060,Palliative Care Educator,https://clinicaltrials.gov/study/NCT04857060,COMPLETED,Advance Care Planning|Palliative Care|Alzheimer's Disease and Related Dementias|Doctor-patient Communication|Video Decision Aids,"BEHAVIORAL: ACP Educator led, video assisted discussion",Tufts Medical Center,National Institute on Aging (NIA),INTERVENTIONAL
NCT01434667,Risk Evaluation and Education for Alzheimer's Disease (REVEAL) IV,https://clinicaltrials.gov/study/NCT01434667,COMPLETED,Mild Cognitive Impairment,BEHAVIORAL: APOE genotype and Alzheimer's disease risk disclosure|BEHAVIORAL: Alzheimer's disease risk disclosure,Brigham and Women's Hospital,National Human Genome Research Institute (NHGRI)|University of Michigan|University of Pennsylvania|Howard University,INTERVENTIONAL
NCT03419052,MINDSpeed Food and Brain Training RCT,https://clinicaltrials.gov/study/NCT03419052,COMPLETED,Low Education|Cognition|Cognitive Training|Polyphenols,BEHAVIORAL: Speed of processing training|BEHAVIORAL: MIND foods|BEHAVIORAL: Cognitive training control|BEHAVIORAL: Control foods,Indiana University,National Institutes of Health (NIH)|National Institute on Aging (NIA),INTERVENTIONAL
NCT06920212,Clinical Safety and Efficacy of Fecal Microbiota Transplantation (FMT) in the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06920212,ACTIVE_NOT_RECRUITING,Fecal Microbiota Transplantation,PROCEDURE: FMT capsule,Shanghai 10th People's Hospital,,INTERVENTIONAL
NCT06337578,Advances in Telephone-based Cognitive Screening Procedures,https://clinicaltrials.gov/study/NCT06337578,RECRUITING,Amyotrophic Lateral Sclerosis|Alzheimer's Disease|Lewy Body Dementia|Frontotemporal Degeneration|Cerebrovascular Disorders,"BEHAVIORAL: Telephone-based neuropsychological assessment - ALS|BEHAVIORAL: Telephone-based neuropsychological assessment - AD, LBD, FTD and CVD|BEHAVIORAL: Telephone-based and in-person cognitive screening - NIs",Istituto Auxologico Italiano,,OBSERVATIONAL
NCT05686980,A Study to Assess the Adverse Events and How Oral ABBV-552 Capsules Moves Through the Body of Healthy Adult Japanese and Han Chinese Participants,https://clinicaltrials.gov/study/NCT05686980,COMPLETED,Healthy Volunteers,DRUG: ABBV-552,AbbVie,,INTERVENTIONAL
NCT04165213,Care of Persons With Dementia in Their Environments (COPE) in Programs of All-Inclusive Care of the Elderly (PACE),https://clinicaltrials.gov/study/NCT04165213,COMPLETED,Frontotemporal Dementia|Dementia|Multi-Infarct Dementia|Vascular Dementia|Mixed Dementia|Alzheimer Disease|Lewy Body Disease|Pick Disease|Neurocognitive Disorders,BEHAVIORAL: Care of Older Persons in their Environment (COPE) online module training,University of Pennsylvania,Drexel University|Thomas Jefferson University,INTERVENTIONAL
NCT01762618,Experimental Study of the Impact of a Group Therapy Psychological Intervention for Caregivers of Alzheimer's Disease Patients,https://clinicaltrials.gov/study/NCT01762618,COMPLETED,Psychological Support to Caregivers of Azlheimer's Patients,BEHAVIORAL: Cognitive Behavioral Therapy Group,"Barcelonabeta Brain Research Center, Pasqual Maragall Foundation",,INTERVENTIONAL
NCT06682767,"A Nutritional Intervention for Body, Brain, and Longevity Effects (NIBBLE)",https://clinicaltrials.gov/study/NCT06682767,NOT_YET_RECRUITING,Cerebral Blood Flow|APOE 4,DIETARY_SUPPLEMENT: FMD1 (LNT22-017-1)|BEHAVIORAL: Dietary Guidance,Cedars-Sinai Medical Center,,INTERVENTIONAL
NCT04077450,Heart-Focused Breathing in Alzheimer's Disease Caregivers,https://clinicaltrials.gov/study/NCT04077450,WITHDRAWN,"Burnout, Caregiver|Quality of Life",BEHAVIORAL: Online Heart-Focused Breathing Intervention,Arizona State University,,INTERVENTIONAL
NCT07234851,Understanding Mechanisms of Synaptic Degeneration Underlying Clinical Symptoms in Patients With MDs and NDs.,https://clinicaltrials.gov/study/NCT07234851,ENROLLING_BY_INVITATION,"Schizophrenia Disorder|Frontotemporal Dementia, Behavioral Variant|Major Depressive Disorder (MDD)|Bipolar Disorder (BD)|Alzheimer's Disease",,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,University of Eastern Finland|University of the Basque Country (UPV/EHU)|Natural and Medical Sciences Institute (NMI),OBSERVATIONAL
NCT02761707,Biomarkers in Neural Disorders,https://clinicaltrials.gov/study/NCT02761707,COMPLETED,Parkinson's Disease|Alzheimer's Disease|Progressive Supranuclear Palsy|Essential Tremor|Multiple System Atrophy|Drug Induced Parkinson's Disease|Diffuse Lewy Body Disease|Myasthenia Gravis|Spinal Cord Injuries,OTHER: Electrical Brainstem Responses|OTHER: Olfactory Tests|OTHER: Visual Deprivation|OTHER: Peripheral Nerve Stimulation,University of Pennsylvania,Michael J. Fox Foundation for Parkinson's Research,OBSERVATIONAL
NCT07042087,Lifestyle for the BRAin Health - Time Restricted Eating and Mindfulness,https://clinicaltrials.gov/study/NCT07042087,RECRUITING,Alzheimer Disease|Aging|Lifestyle Factors|Cognitive Impairment|Yoga|Time Restricted Eating|Diet Modification,BEHAVIORAL: Mindfulness Yoga|BEHAVIORAL: Time-Restricted Eating with nutritional counseling promoting a flexitarian dietary pattern|BEHAVIORAL: Cognitive Training|BEHAVIORAL: Stretching,"St. Anne's University Hospital Brno, Czech Republic",Slovak Academy of Sciences,INTERVENTIONAL
NCT07444554,High-Velocity Resistance Training for Brain Blood Flow and Cognitive Function in Older Adults,https://clinicaltrials.gov/study/NCT07444554,NOT_YET_RECRUITING,"At Risk for AD-dementia, With Subjective Cognitive Decline|At Risk for Cognitive Decline",BEHAVIORAL: High-Velocity Resistance Training,University of Illinois at Chicago,National Institute on Aging (NIA),INTERVENTIONAL
NCT04413851,Feasibility of Passive Data Collection in Dementia Subjects With Agitation,https://clinicaltrials.gov/study/NCT04413851,COMPLETED,Dementia|Alzheimer Disease|Vascular Dementia|Frontotemporal Dementia|Lewy Body Dementia|Mixed Dementia,,HealthMode Inc.,,OBSERVATIONAL
NCT04748861,CYCLE-AD (CYcling to Cease or Limit the Effects of Alzheimer's Disease),https://clinicaltrials.gov/study/NCT04748861,ACTIVE_NOT_RECRUITING,High Intensity Exercise|Normal Cognition|Exercise Intervention,OTHER: Indoor Cycling (IC),The Cleveland Clinic,"National Institutes of Health (NIH)|University of Maryland, College Park|National Institute on Aging (NIA)",INTERVENTIONAL
NCT03672266,Studies of Brain and Body Interaction,https://clinicaltrials.gov/study/NCT03672266,RECRUITING,"Autistic Disorders Spectrum|Adhd|Asperger Syndrome|Alzheimer Disease|Parkinson|Tremor Essential|Dementia, Alzheimer Type|Lewy Body Dementia With Behavioral Disturbance (Disorder)|Dementia With Lewy Bodies|Dementia Frontal",,Rutgers University,,OBSERVATIONAL
NCT00646074,Self- Care TALK Study - Promoting Alzheimer's Disease (AD) Spousal Caregiver Health,https://clinicaltrials.gov/study/NCT00646074,COMPLETED,Caregiving,BEHAVIORAL: Self-Care Talk,University of Kansas,National Institutes of Health (NIH)|National Institute of Nursing Research (NINR),INTERVENTIONAL
NCT04828434,Virtual Individual Cognitive Stimulation Therapy: a Proof of Concept Study,https://clinicaltrials.gov/study/NCT04828434,UNKNOWN,"Dementia|Dementia, Vascular|Dementia, Mixed|Dementia With Lewy Bodies|Dementia Frontal|Dementia, Mild|Dementia Moderate|Dementia Alzheimers|Dementia of Alzheimer Type|Dementia, Multi-Infarct|Dementia Frontotemporal",OTHER: Virtual Individual Cognitive Simulation Therapy,"University College, London",The University of Hong Kong,INTERVENTIONAL
NCT06584656,Understanding Cerebral Blood Flow Dynamics for Alzheimer's Disease Prevention Through Exercise,https://clinicaltrials.gov/study/NCT06584656,COMPLETED,"Healthy Aging|Cognitive Function 1, Social|Cerebrovascular Circulation|Blood Flow",BEHAVIORAL: Aerobic exercise condition|BEHAVIORAL: Resistance exercise condition,Universidad de Granada,"University Hospital Virgen de las Nieves|Instituto Mixto Universitario Deporte y Salud (iMUDS)|Research Center for Mind, Brain and Behavior, Spain",INTERVENTIONAL
NCT04342520,Anxiety Related to the Diagnosis of Alzheimer's Disease or Related Diseases,https://clinicaltrials.gov/study/NCT04342520,UNKNOWN,Cognitive Decline,OTHER: Dyads Patient / caregiver,Hospices Civils de Lyon,,OBSERVATIONAL
NCT02576821,Hippocampal Sclerosis and Amnesia Not Due to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02576821,COMPLETED,Patients With Cognitive Disturbances,OTHER: Neurological examinations|OTHER: Neuropsychological examinations|OTHER: Clinical examinations|RADIATION: MRI 3T|RADIATION: MRI 7T,Centre Hospitalier St Anne,,INTERVENTIONAL
NCT02162251,Post-marketing Surveillance of Donepezil Hydrochloride Investigation of the Safety and Effectiveness of Combination Therapy of Donepezil Hydrochloride and Memantine Hydrochloride in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02162251,COMPLETED,Alzheimer's Desease,DRUG: Donepezil Hydrochloride,"Eisai Co., Ltd.",,OBSERVATIONAL
NCT04626804,Remember Stuff: A Dyadic-focused Technology to Support Persons With Alzheimer's Disease in the Community,https://clinicaltrials.gov/study/NCT04626804,COMPLETED,Anxiety|Depression|Caregiver Burnout|Anxiety Generalized,OTHER: Remember Stuff: A Dyadic-focused Technology to Support Persons with Alzheimer's Disease in the Community,Indiana University,,INTERVENTIONAL
NCT03984396,Optimal Medication Management in Alzheimer's Disease and Dementia,https://clinicaltrials.gov/study/NCT03984396,COMPLETED,Dementia,OTHER: Educational Materials - Patient & Clinician,Kaiser Permanente,Johns Hopkins University|Duke University|Monash University,INTERVENTIONAL
NCT06530277,REMINDer - A Digital Environmental Enrichment Intervention,https://clinicaltrials.gov/study/NCT06530277,COMPLETED,Healthy,BEHAVIORAL: REMINDer (A digital environmental enrichment intervention),German Center for Neurodegenerative Diseases (DZNE),,INTERVENTIONAL
NCT05460494,Reduce Loneliness in Care Partners of Persons With AD/ADRD,https://clinicaltrials.gov/study/NCT05460494,COMPLETED,Loneliness,BEHAVIORAL: RELOAD-C,Northwell Health,National Institute on Aging (NIA),INTERVENTIONAL
NCT03727360,Exercise for Brain Health in the Fight Against Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03727360,COMPLETED,Healthy Cognition,OTHER: Exercise Training|OTHER: Flexibility Control,"University of Maryland, College Park","National Institute on Aging (NIA)|Johns Hopkins University|Marquette University|University of Maryland, Baltimore",INTERVENTIONAL
NCT00396825,Video-Based Coping Skills Training for Caregivers,https://clinicaltrials.gov/study/NCT00396825,COMPLETED,Caregivers,BEHAVIORAL: Video-based coping skills training with telephone coaching,Williams LifeSkills,National Institute on Aging (NIA),INTERVENTIONAL
NCT04507126,A Pilot Study of the Effects of BCG Immunization on CSF and Blood-based Biomarkers in Older Adults.,https://clinicaltrials.gov/study/NCT04507126,COMPLETED,Healthy,BIOLOGICAL: Bacillus Calmette-Guerin (BCG),Massachusetts General Hospital,,INTERVENTIONAL
NCT03030586,ADDIA Proof-of-Performance Clinical Study,https://clinicaltrials.gov/study/NCT03030586,COMPLETED,Alzheimer Disease (AD)|Frontotemporal Lobar Degeneration|Dementia with Lewy Bodies (DLB)|Parkinson Disease Dementia (PDD)|Progressive Supranuclear Palsy (PSP)|Corticobasal Degeneration (CBD),OTHER: volumetric MRI,Amoneta Diagnostics SAS,"European Commission|Firalis SA|University Hospital, Strasbourg|Centre Hospitalier Universitaire Vaudois|IRCCS Centro San Giovanni di Dio Fatebenefratelli|Hopitaux Civils de Colmar|Istanbul University|Assistance Publique - Hôpitaux de Paris|University Hospital, Lille|University Hospital, Geneva|Cliniques universitaires Saint-Luc- Université Catholique de Louvain|Erasme University Hospital|University Hospital, Montpellier|Centre Hospitalier Universitaire de Besancon|Centre Hospitalier Universitaire de Nice",OBSERVATIONAL
NCT02984540,Effect of a Modified Ketogenic-Mediterranean Diet on Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02984540,COMPLETED,Mild Cognitive Impairment|Insulin Resistance,OTHER: Low-Carbohydrate Diet|OTHER: Low-Fat Diet,Wake Forest University Health Sciences,,INTERVENTIONAL
NCT07161089,"Correlation Between Knowledge, Attitude and Practices of Caregivers and Oral Health Status of Alzheimer's Disease Patients",https://clinicaltrials.gov/study/NCT07161089,COMPLETED,Practices of Caregivers|Knowledge of Caregivers|Attitudes of Caregivers|Oral Health Status of Alzheimer Patients,,Cairo University,,OBSERVATIONAL
NCT03330353,Chromatic Pupillometry to Assess the Melanopsin-Light Pathway in Progressive Supranuclear Palsy,https://clinicaltrials.gov/study/NCT03330353,UNKNOWN,PSP - Progressive Supranuclear Palsy|PD - Parkinson's Disease|AD - Alzheimer's Disease|ALS (Amyotrophic Lateral Sclerosis),DIAGNOSTIC_TEST: Pupillometry,Massachusetts General Hospital,NeurOptics Inc.|University of Toronto,OBSERVATIONAL
NCT04877782,Modulating the Locus Coeruleus Function,https://clinicaltrials.gov/study/NCT04877782,COMPLETED,Healthy Aging,DEVICE: Transcutaneous vagus verne stimulation,Maastricht University Medical Center,University of Liege,OBSERVATIONAL
NCT03859245,Photobiomodulation & Ketogenic Diet for Treatment of Mid-periphery Retinal Disorders for Alzheimer's Disease Prevention,https://clinicaltrials.gov/study/NCT03859245,UNKNOWN,Diabetic Retinopathy (DR)|Age-related Macular Degeneration (AMD)|Mid-peripheral Drusen Formation|Diabetic Macular Edema (DME),BEHAVIORAL: Photobiomodulation|BEHAVIORAL: Ketogenic diet,"Bristlecone Health, Inc.",University of Minnesota,INTERVENTIONAL
NCT02509117,First-In-Human Study Of Single And Multiple Ascending Doses Of PF-06751979,https://clinicaltrials.gov/study/NCT02509117,COMPLETED,Healthy Subjects,DRUG: PF-06751979 single ascending dose|DRUG: Placebo single dose|DRUG: PF-06751979 multiple ascending dose|DRUG: Placebo multiple dose|DRUG: PF-06751979 multiple dose|DRUG: PF-06751979 multiple dose,Pfizer,,INTERVENTIONAL
NCT04440020,Management of Dementia With Olive Oil Leaves - GOLDEN,https://clinicaltrials.gov/study/NCT04440020,UNKNOWN,Prevention,OTHER: Beverage of Olive Oil Leaves|OTHER: Mediterranean Diet,Aristotle University Of Thessaloniki,,INTERVENTIONAL
NCT04905238,Obstructive Sleep Apnea and Biomarkers of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04905238,ENROLLING_BY_INVITATION,"Sleep Apnea, Obstructive",DEVICE: Continuous positive airway pressure,Alberto Alonso Fernandez,Instituto de Salud Carlos III,INTERVENTIONAL
NCT05730023,"A Multimodal Approach for Clinical Diagnosis and Treatment of Primary Progressive Aphasia, MAINSTREAM ID:3430931",https://clinicaltrials.gov/study/NCT05730023,RECRUITING,Primary Progressive Aphasia,DEVICE: Active tDCS|BEHAVIORAL: individualized language training|DEVICE: Placebo tDCS,IRCCS Centro San Giovanni di Dio Fatebenefratelli,"Fondazione Regionale per la Ricerca Biomedica|Fondazione Mondino|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico|IRCCS Fondazione Don Carlo Gnocchi - ONLUS, Milan",INTERVENTIONAL
NCT00294307,Enhancing Care Coordination: Hospital to Home for Cognitively Impaired Older Adults and Their Caregivers,https://clinicaltrials.gov/study/NCT00294307,COMPLETED,"Dementia|Dementia, Vascular|Alzheimer Disease|Delirium, Dementia, Amnestic, Cognitive Disorders|Lewy Body Disease|Mild Cognitive Impairment",BEHAVIORAL: Augmented Standard Care (ASC)|BEHAVIORAL: Resource Nurse Care (RNC)|BEHAVIORAL: Advanced Practice Nurse Care (APNC),University of Pennsylvania,National Institute on Aging (NIA),OBSERVATIONAL
NCT00441987,Study Evaluating the Safety and Pharmacokinetics of a Single Dose of GSI-953,https://clinicaltrials.gov/study/NCT00441987,COMPLETED,Healthy,DRUG: GSI-953,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT02305836,Effect of Electroacupuncture Combined With Donepezil for Treating Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02305836,UNKNOWN,Cognitive Impairment,PROCEDURE: acupuncture|DRUG: donepezil,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,,INTERVENTIONAL
NCT04025801,Heidelberg In Vivo Confocal Microscopy to Evaluate the Ocular Surface Disorders of Healthy and Diseased Individuals,https://clinicaltrials.gov/study/NCT04025801,UNKNOWN,Healthy Individuals|Diabetes|Hypertension|Fabry Disease|Metabolic Disease|Alzheimer Disease|Dementia|Limbal Insufficiency|Phlyctenulosis|Ocular Rosacea|Graft Versus Host Disease in Eye|Dry Eye Syndrome,,National Taiwan University Hospital,,OBSERVATIONAL
NCT06382194,Decision Making Tool for Firearm Storage,https://clinicaltrials.gov/study/NCT06382194,COMPLETED,"Dementia, Mild|Depression",OTHER: Decision aid,University of Washington,National Institute on Aging (NIA),INTERVENTIONAL
NCT05016219,Phase 2 - Rhythmic Light Therapy for Alzheimer's Disease Patients,https://clinicaltrials.gov/study/NCT05016219,RECRUITING,Mild Cognitive Impairment,DEVICE: Circadian-Effective Light|DEVICE: Rhythmic Light|DEVICE: Placebo Light|DEVICE: Placebo Rhythmic Light,Icahn School of Medicine at Mount Sinai,,INTERVENTIONAL
NCT02820155,Phase I Single and Multiple Escalating Dose Study of RGN1016 in Healthy Male Subjects,https://clinicaltrials.gov/study/NCT02820155,UNKNOWN,Healthy,DRUG: RGN1016|DRUG: Placebo,National Taiwan University Hospital,National Taiwan University,INTERVENTIONAL
NCT02180269,"A Safety, Tolerability and Pharmacokinetics Study of JNJ-54861911 in Healthy Japanese Male Participants",https://clinicaltrials.gov/study/NCT02180269,COMPLETED,Healthy,DRUG: JNJ-54861911 (25 mg)|DRUG: JNJ-54861911 (50 mg)|DRUG: JNJ-54861911 (100 mg)|DRUG: Placebo,Janssen Pharmaceutical K.K.,,INTERVENTIONAL
NCT06539169,FLOWER: Following Longitudinal Outcomes With Epidemiology for Rare Diseases,https://clinicaltrials.gov/study/NCT06539169,RECRUITING,Alpha-Thalassemia|Beta-Thalassemia|Amyloidosis|Amyotrophic Lateral Sclerosis|Creutzfeld-Jakob Disease|Cystic Fibrosis|Duchenne Muscular Dystrophy|Early-Onset Alzheimer Disease|Ehlers-Danlos Syndrome|Huntington Disease|Gaucher Disease|GM1 Gangliosidosis|Myasthenia Gravis|Pompe Disease|Sickle Cell Disease|Transthyretin Amyloid Cardiomyopathy|Rare Diseases,,xCures,,OBSERVATIONAL
NCT01937221,Novel Retinal Imaging Biomarkers in Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01937221,COMPLETED,Mild Cognitive Impairment|Mild to Moderate Cognitive Impairment,OTHER: spectral-domain optical coherence tomography (SD-OCT),Duke University,Duke Institute for Brain Sciences|Alzheimer's Association|Duke-NUS Graduate Medical School,OBSERVATIONAL
NCT04277767,The Role of Ophthalmologic Tests and EEG Imaging in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04277767,UNKNOWN,Mild Cognitive Impairment,DIAGNOSTIC_TEST: observational,"Zhongshan Ophthalmic Center, Sun Yat-sen University",,OBSERVATIONAL
NCT02793232,"Clinical Trial In Healthy Volunteers And Health Elderly Volunteers To Evaluate The Safety, Tolerability And Blood Concentration After Single And Multiple Escalating Oral Doses Of PF-06751979.",https://clinicaltrials.gov/study/NCT02793232,COMPLETED,Healthy Subjects,DRUG: PF-06751979 single dose|DRUG: Placebo single dose|DRUG: PF-06751979 multiple ascending dose|DRUG: Placebo multiple ascending dose|DRUG: PF-06751979 multiple dose|DRUG: Placebo multiple elderly dose,Pfizer,,INTERVENTIONAL
NCT07502560,A Study to Evaluate the Effect of Recombinant Zoster Vaccine on New Diagnosis of Dementia in an Older Adult Population Aged 76 Years or Older in Finland,https://clinicaltrials.gov/study/NCT07502560,NOT_YET_RECRUITING,Herpes Zoster,BIOLOGICAL: Recombinant zoster vaccine|DRUG: Placebo,GlaxoSmithKline,,INTERVENTIONAL
NCT02260700,"A Study to Evaluate Bioavailability, Food Effect, Safety and Tolerability of a Solid Dosage Formulation of JNJ-54861911 in Healthy Older Male Participants",https://clinicaltrials.gov/study/NCT02260700,COMPLETED,Healthy,DRUG: JNJ-54861911 (Treatment A)|DRUG: JNJ-54861911 (Treatment B)|DRUG: JNJ-54861911 (Treatment C),"Janssen Research & Development, LLC",,INTERVENTIONAL
NCT03840083,Sleep-dependent Learning in Aging,https://clinicaltrials.gov/study/NCT03840083,RECRUITING,Sleep,BEHAVIORAL: Sleep,"University of Massachusetts, Amherst",,INTERVENTIONAL
NCT01029132,Characteristics of Treatment Responders to Galantamine,https://clinicaltrials.gov/study/NCT01029132,COMPLETED,Dementia,DRUG: galantamine,Samsung Medical Center,"Janssen Korea, Ltd., Korea",INTERVENTIONAL
NCT05322343,Biobank and Brain Health in Bordeaux.,https://clinicaltrials.gov/study/NCT05322343,RECRUITING,Brain|Aging|Cognitive Aging|Immunosenescence|Mental Processes|Mental Disorders|Neurocognitive Disorders|Cognition|Brain Diseases|Dementia|Alzheimer Disease|Mental Health|Behavioral Symptoms|Depression|Anxiety,OTHER: Questionnaires|OTHER: Fasting blood sampling.|OTHER: Saliva collection and nasal or nasopharyngeal swab|OTHER: Urine and stool samples|OTHER: Hair and a tonenail (or hand nail) sampling|OTHER: Nasal microbiota|OTHER: Measurements|OTHER: Neuroimaging|OTHER: Medical visit,"University Hospital, Bordeaux",,OBSERVATIONAL
NCT06876857,University of Central Florida CereBank,https://clinicaltrials.gov/study/NCT06876857,RECRUITING,Biospecimen Donation|Brain Injury|Brain Diseases,,University of Central Florida,,OBSERVATIONAL
NCT05433883,The Relationship Between Obstructive Sleep Apnea and Alzheimer's Disease: Evidence and Effectiveness,https://clinicaltrials.gov/study/NCT05433883,UNKNOWN,Obstructive Sleep Apnea of Adult|Mild Cognitive Impairment,PROCEDURE: sleep surgery,Chang Gung Memorial Hospital,,INTERVENTIONAL
NCT03240406,Multicultural Healthy Diet to Reduce Cognitive Decline,https://clinicaltrials.gov/study/NCT03240406,COMPLETED,Diet Modification|Cognitive Decline|Cognitive Change,OTHER: Multicultural Healthy Diet|OTHER: Usual Diet plus Self-Care,Albert Einstein College of Medicine,Penn State University|Kaiser Permanente|University of Minnesota|National Institute on Aging (NIA)|National Center for Advancing Translational Sciences (NCATS),INTERVENTIONAL
NCT03962439,Impact of Challenging Engagement on Cognition in Older Adults,https://clinicaltrials.gov/study/NCT03962439,TERMINATED,Cognitive Change,BEHAVIORAL: High-Demand Photography|BEHAVIORAL: Moderate-Demand Photography|BEHAVIORAL: At-Home Engagement,The University of Texas at Dallas,University of Texas Southwestern Medical Center|Southern Methodist University|National Institute on Aging (NIA),INTERVENTIONAL
NCT00946530,Light Treatment for Sleep/Wake Disturbances in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00946530,COMPLETED,Sleep Initiation and Maintenance Disorders,DEVICE: Bright light|DEVICE: Control,Stanford University,Palo Alto Veterans Institute for Research,INTERVENTIONAL
NCT02126514,"A Phase I, Open-Label, Single-Center Study to Assess the Absorption, Metabolism, and Excretion of [14C]-AZD3293",https://clinicaltrials.gov/study/NCT02126514,COMPLETED,Healthy Volunteers|Mass Balance Study,DRUG: AZD3293,AstraZeneca,,INTERVENTIONAL
NCT02005991,A Study To Examine The Distribution Of PF-05212377 In The Brain Of Healthy Volunteer Subjects Using Positron Emission Tomography And A Radioactive Tracer Following Oral Administration Of One Dose Of PF-05212377,https://clinicaltrials.gov/study/NCT02005991,COMPLETED,Healthy,DRUG: PF-05212377|DRUG: PF-05212377|DRUG: PF-05212377,Pfizer,,INTERVENTIONAL
